station	dist_coast	latitude	longitude	elevation	state	name
USC00044534	107.655	36.0042	-119.96	73.2	CA	KETTLEMAN CITY
USC00356784	0.61097	42.7519	-124.5011	12.8	OR	PORT ORFORD NO 2
USC00243581	1316.54	47.1064	-104.7183	632.8	MT	GLENDIVE
USC00205601	685.5010000000001	41.75	-84.2167	247.2	MI	MORENCI
CA005010480	908.2710000000001	49.917	-99.95	409.0		BRANDON AIRPORT
USC00201178	861.872	44.2333	-85.4217	399.3	MI	CADILLAC 2SW
USC00486450	1462.5	43.5167	-104.3333	1250.9	WY	MORRISEY
USC00040444	122.223	35.4186	-119.0508	143.3	CA	BAKERSFIELD 5 NW
USC00045853	34.2294	37.1364	-121.6025	114.3	CA	MORGAN HILL
CA001018935	2.6395299999999997	48.33	-123.53	12.0		WILLIAM HEAD
USC00488880	1169.8	43.65	-108.2167	1341.1	WY	THERMOPOLIS 2
USC00143037	1020.2	38.5375	-98.1611	533.4	KS	GENESEO
USW00093026	333.819	31.4583	-109.6061	1251.2	AZ	DOUGLAS BISBEE INL AP
USC00046896	207.528	36.8211	-119.3375	187.5	CA	PINE FLAT DAM
USC00483485	1439.99	42.2167	-104.5167	1290.8	WY	FORT LARAMIE
USC00250420	1461.83	42.5136	-99.0303	637.0	NE	ATKINSON 3SW
USC00305711	298.991	43.9667	-74.2167	494.1	NY	NEWCOMB 3 W
CA008104928	121.70299999999999	47.15	-67.833	242.0	NB	SAINT LEONARD ARPT
USC00428705	899.9860000000001	38.9667	-109.7167	1554.2	UT	THOMPSON
USC00480200	1413.72	44.6522	-104.3492	1338.1	WY	ALVA 5 ESE
USC00425812	686.61	37.0167	-110.2167	1615.4	UT	MONUMENT VLY MISSION
USC00457871	32.5142	47.2333	-123.5833	177.1	WA	SOUTH OLYMPIC TREE FM
USC00256439	1292.08	40.7456	-99.59	710.2	NE	OVERTON 3 W
USW00093112	0.813873	32.7	-117.2	7.9	CA	NORTH ISLAND NAS
USC00351548	215.699	42.9667	-121.5833	1385.0	OR	CHEMULT 20 SE
USW00023240	80.5834	37.4	-121.1333	50.0	CA	CROWS LANDING
USC00139178	1324.25	41.95	-93.9167	323.1	IA	WOODWARD 7 N
USW00004743	7.64262	43.0833	-70.8167	39.0	NH	PORTSMOUTH PEASE AFB
USC00145530	908.092	38.135	-94.8161	278.0	KS	MOUND CITY 1SSW
USW00013803	747.578	39.2667	-85.9	199.9	IN	COLUMBUS BAKALAR AP
USC00202394	759.64	42.7333	-84.4833	264.9	MI	EAST LANSING WB CITY
USC00023828	416.20599999999996	34.7433	-111.4139	2279.9	AZ	HAPPY JACK RS
USC00329155	954.6189999999999	48.9133	-97.9181	286.5	ND	WALHALLA 1 SW
USC00051809	1115.51	39.2878	-105.8272	2901.1	CO	COMO 4SE
USC00027462	231.29	33.6833	-113.4833	487.4	AZ	SALOME 17 SE
USC00465706	107.479	39.4658	-77.9669	164.6	WV	MARTINSBURG 2
USC00236460	741.67	36.6597	-93.1261	213.4	MO	OZARK BEACH
USC00020775	303.533	31.4475	-109.9289	1694.7	AZ	BISBEE 1WNW
USC00461959	341.02	38.4864	-81.2711	195.1	WV	CORTON
USC00361591	39.0341	39.9847	-75.86	195.1	PA	COATESVILLE 2 W
USC00016719	163.411	32.2	-88.35	78.9	AL	PUSHMATAHA
USC00469522	267.404	37.7889	-80.3083	585.2	WV	WHITE SULPHUR SPRINGS
USC00419176	809.5219999999999	34.6	-101.7	1068.0	TX	TULIA 6 NE
USW00012922	39.2666	28.7833	-97.0833	35.1	TX	VICTORIA WB AP
USC00455663	62.232	48.8667	-121.6667	1266.1	WA	MT BAKER LODGE
USC00248488	487.86699999999996	48.8333	-115.7167	854.0	MT	YAAK UPPER RIVER
USC00303769	405.13199999999995	42.485	-78.9367	265.2	NY	HELMUTH FIRE CTRL
USC00424100	775.947	37.3858	-109.075	1597.2	UT	HOVENWEEP NM
USC00335296	453.44699999999995	40.5667	-81.9167	246.9	OH	MILLERSBURG
USC00314938	348.93800000000005	35.915	-81.5378	365.8	NC	LENOIR
USC00296465	750.882	36.3339	-107.8408	2097.0	NM	OTIS
USC00363321	41.7902	40.0997	-75.7506	152.4	PA	GLENMOORE
USC00344976	694.2719999999999	35.5833	-97.5833	360.0	OK	LAKE HEFNER 2
